age,category,annual_income,is_bpl,state,eligible_schemes
41,SC,70741,False,Odisha,Ayushman Bharat;PMAY Housing
18,General,215704,False,Odisha,PMAY Housing
61,SC,67361,False,Uttar Pradesh,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
44,OBC,588298,False,Telangana,None
61,OBC,478154,False,Tamil Nadu,Old Age Pension;Senior Citizen Bus Pass
60,General(EWS),65485,False,Andhra Pradesh,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
47,General,529508,False,Punjab,None
59,ST,230216,False,Haryana,PMAY Housing
19,General,288367,False,Tamil Nadu,PMAY Housing
38,General(EWS),182532,False,Rajasthan,Ayushman Bharat;PMAY Housing
68,OBC,199007,False,Karnataka,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
47,SC,27552,False,Maharashtra,Ayushman Bharat;PMAY Housing
19,OBC,281997,False,Haryana,OBC Scholarship;PMAY Housing
32,SC,106154,False,Madhya Pradesh,PMAY Housing
54,General,95037,False,Tamil Nadu,PMAY Housing
37,SC,22392,True,Jharkhand,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
56,SC,10391,True,Punjab,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
48,OBC,87986,False,Andhra Pradesh,PMAY Housing
78,OBC,557273,False,Maharashtra,Old Age Pension;Senior Citizen Bus Pass
34,SC,233977,False,Odisha,PMAY Housing
49,General(EWS),533166,False,Telangana,Ayushman Bharat
25,OBC,78961,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;OBC Scholarship;PMAY Housing
20,ST,560613,False,Madhya Pradesh,ST Scholarship
78,General(EWS),283289,False,Madhya Pradesh,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
34,SC,38643,False,Uttar Pradesh,Ayushman Bharat;PMAY Housing
23,SC,204958,False,Haryana,PMAY Housing;SC Scholarship
70,ST,508623,False,Rajasthan,Old Age Pension;Senior Citizen Bus Pass
56,General(EWS),546450,False,Telangana,Ayushman Bharat
38,SC,10351,True,Rajasthan,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
47,General(EWS),114997,False,Andhra Pradesh,Ayushman Bharat;PMAY Housing
71,General,257145,False,Kerala,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
57,General(EWS),18418,True,West Bengal,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
49,ST,127606,False,Rajasthan,PMAY Housing
19,SC,270649,False,Karnataka,PMAY Housing;SC Scholarship;South India Welfare Scheme
78,ST,405477,False,Kerala,Old Age Pension;Senior Citizen Bus Pass;South India Welfare Scheme
66,General(EWS),18904,True,Punjab,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
43,General(EWS),34135,False,Jharkhand,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
50,ST,210137,False,Telangana,PMAY Housing
66,General,47545,False,Karnataka,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
48,General,282237,False,Tamil Nadu,PMAY Housing
56,General,223599,False,Gujarat,PMAY Housing
50,SC,74486,False,Tamil Nadu,Ayushman Bharat;PMAY Housing
70,ST,17277,True,Bihar,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
39,SC,73539,False,Rajasthan,Ayushman Bharat;PMAY Housing
76,SC,18371,True,Telangana,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
40,ST,34624,False,Punjab,Ayushman Bharat;PMAY Housing
51,General,245548,False,Punjab,PMAY Housing
60,General(EWS),24599,True,Gujarat,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
20,SC,568386,False,Rajasthan,SC Scholarship
33,General,364410,False,Odisha,None
44,General(EWS),270710,False,Telangana,Ayushman Bharat;PMAY Housing
36,SC,127933,False,Uttar Pradesh,PMAY Housing
51,OBC,100260,False,Maharashtra,PMAY Housing
51,SC,262163,False,Punjab,PMAY Housing
63,General,59610,False,Odisha,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
77,General,462021,False,Bihar,Bihar/Jharkhand Rural Support Scheme;Old Age Pension;Senior Citizen Bus Pass
46,ST,274054,False,Telangana,PMAY Housing
28,OBC,501755,False,Telangana,OBC Scholarship
20,OBC,249453,False,Telangana,OBC Scholarship;PMAY Housing
67,ST,18670,True,West Bengal,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
47,General,17604,True,Karnataka,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing;South India Welfare Scheme
61,OBC,349662,False,Bihar,Bihar/Jharkhand Rural Support Scheme;Old Age Pension;Senior Citizen Bus Pass
62,SC,584438,False,Jharkhand,Bihar/Jharkhand Rural Support Scheme;Old Age Pension;Senior Citizen Bus Pass
52,General(EWS),48824,False,Jharkhand,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
20,OBC,253293,False,Tamil Nadu,OBC Scholarship;PMAY Housing
54,ST,292791,False,Tamil Nadu,PMAY Housing
42,OBC,428268,False,Karnataka,South India Welfare Scheme
20,General(EWS),257974,False,Maharashtra,Ayushman Bharat;PMAY Housing
65,SC,334806,False,Jharkhand,Bihar/Jharkhand Rural Support Scheme;Old Age Pension;Senior Citizen Bus Pass
59,General,428288,False,Bihar,Bihar/Jharkhand Rural Support Scheme
29,SC,16781,True,Maharashtra,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing;SC Scholarship
18,ST,69328,False,Andhra Pradesh,Ayushman Bharat;PMAY Housing;ST Scholarship
48,OBC,141650,False,Kerala,PMAY Housing;South India Welfare Scheme
22,SC,243298,False,Tamil Nadu,PMAY Housing;SC Scholarship
55,OBC,68926,False,Rajasthan,Ayushman Bharat;PMAY Housing
33,General,68439,False,Andhra Pradesh,Ayushman Bharat;PMAY Housing
47,OBC,24908,True,Gujarat,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
31,General,114823,False,Tamil Nadu,PMAY Housing
67,ST,15739,True,Kerala,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
20,SC,76969,False,Jharkhand,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing;SC Scholarship
23,OBC,229537,False,Maharashtra,OBC Scholarship;PMAY Housing
78,OBC,79749,False,Rajasthan,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
76,General(EWS),384627,False,West Bengal,Ayushman Bharat;Old Age Pension;Senior Citizen Bus Pass
64,General(EWS),294883,False,West Bengal,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
36,SC,11133,True,Odisha,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
33,General,28512,False,Jharkhand,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
30,OBC,52721,False,Punjab,Ayushman Bharat;OBC Scholarship;PMAY Housing
33,General(EWS),47061,False,Uttar Pradesh,Ayushman Bharat;PMAY Housing
47,SC,384669,False,West Bengal,None
66,SC,479248,False,Karnataka,Old Age Pension;Senior Citizen Bus Pass;South India Welfare Scheme
